date,category,description,amount,currency
2026-08-01,Transport,Bus fare,1200,NGN
2026-08-02,Food,Lunch,3500,NGN
2026-08-03,Utilities,Internet service,15000,NGN
2026-08-04,Transport,Ride fare,2800,NGN
2026-08-05,Food,Groceries,12500,NGN
2026-08-07,Entertainment,Movie ticket,4500,NGN
2026-08-09,Utilities,Electricity,18000,NGN
2026-08-11,Transport,Bus fare,1500,NGN
2026-08-13,Food,Lunch,3200,NGN
2026-08-15,Shopping,Office supplies,6700,NGN
2026-08-17,Transport,Ride fare,3100,NGN
2026-08-19,Food,Groceries,9800,NGN
